Qty,Value,Device,,Package,Parts,Description,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,SUPPLIER
1,,CRYSTALHC49US,XC1925-ND,HC49US,Y1,Various standard crystals. Proven footprints.,,,,,
1,0.047uF/12V,C-USC0805,399-1166-1-ND,C0805,C43,"CAPACITOR, American symbol",,,,,
19,0.1uF,C-USC0805,709-1183-1-ND,C0805,"C1, C2, C4, C7, C9, C10, C13, C15, C16, C19, C21, C22, C25, C27, C28, C31, C33, C34, C37","CAPACITOR, American symbol",,,,,
3,0.33uF/12V,C-USC0805,399-1165-1-ND,C0805,"C41, C42, C44","CAPACITOR, American symbol",,,,,
1,100kR,R-US_R0805,P100KDACT-ND,R0805,R76,"RESISTOR, American symbol",,,,,
1,102kR,R-US_R0805,P102KDACT-ND,R0805,R78,"RESISTOR, American symbol",,,,,
1,105kR,R-US_R0805,P105KDACT-ND,R0805,R80,"RESISTOR, American symbol",,,,,
1,107kR,R-US_R0805,P107KDACT-ND,R0805,R82,"RESISTOR, American symbol",,,,,
1,10k,R-US_R0805,,R0805,R87,"RESISTOR, American symbol",,,,,
13,10uF,C-USC0805,709-1229-1-ND,C0805,"C3, C5, C8, C11, C14, C17, C20, C23, C26, C29, C32, C35, C38","CAPACITOR, American symbol",,,,,
1,110kR,R-US_R0805,P110KDACT-ND,R0805,R84,"RESISTOR, American symbol",,,,,
1,113kR,R-US_R0805,P113KDACT-ND,R0805,R63,"RESISTOR, American symbol",,,,,
1,115kR,R-US_R0805,P115KDACT-ND,R0805,R61,"RESISTOR, American symbol",,,,,
1,120kR,R-US_R0805,P120KDACT-ND,R0805,R59,"RESISTOR, American symbol",,,,,
1,124kR,R-US_R0805,P124KDACT-ND,R0805,R57,"RESISTOR, American symbol",,,,,
1,127kR,R-US_R0805,P127KDACT-ND,R0805,R66,"RESISTOR, American symbol",,,,,
1,130kR,R-US_R0805,P130KDACT-ND,R0805,R68,"RESISTOR, American symbol",,,,,
1,133kR,R-US_R0805,P133KDACT-ND,R0805,R70,"RESISTOR, American symbol",,,,,
1,140kR,R-US_R0805,P140KDACT-ND,R0805,R72,"RESISTOR, American symbol",,,,,
1,143kR,R-US_R0805,P143KDACT-ND,R0805,R47,"RESISTOR, American symbol",,,,,
1,150kR,R-US_R0805,P150KDACT-ND,R0805,R45,"RESISTOR, American symbol",,,,,
1,158kR,R-US_R0805,P158KDACT-ND,R0805,R43,"RESISTOR, American symbol",,,,,
1,162kR,R-US_R0805,P162KDACT-ND,R0805,R41,"RESISTOR, American symbol",,,,,
1,169kR,R-US_R0805,P169KDACT-ND,R0805,R50,"RESISTOR, American symbol",,,,,
1,178kR,R-US_R0805,P178KDACT-ND,R0805,R52,"RESISTOR, American symbol",,,,,
1,182kR,R-US_R0805,P182KDACT-ND,R0805,R54,"RESISTOR, American symbol",,,,,
1,191kR,R-US_R0805,P191KDACT-ND,R0805,R56,"RESISTOR, American symbol",,,,,
47,1MR,R-US_R0805,P1MDACT-ND,R0805,"R1, R3, R5, R7, R8, R9, R11, R13, R15, R17, R19, R21, R23, R25, R27, R29, R31, R33, R35, R37, R40, R42, R44, R46, R48, R49, R51, R53, R55, R58, R60, R62, R64, R65, R67, R69, R71, R73, R75, R77, R79, R81, R83, R88, R89, R90, R91","RESISTOR, American symbol",,,,,
6,2.2uF,C-USC0805,709-1063-1-ND,C0805,"C6, C12, C18, C24, C30, C36","CAPACITOR, American symbol",,,,,
1,205kR,R-US_R0805,P205KDACT-ND,R0805,R39,"RESISTOR, American symbol",,,,,
1,215kR,R-US_R0805,P215KDACT-ND,R0805,R26,"RESISTOR, American symbol",,,,,
1,221kR,R-US_R0805,P221KDACT-ND,R0805,R2,"RESISTOR, American symbol",,,,,
1,226kR,R-US_R0805,P226KDACT-ND,R0805,R28,"RESISTOR, American symbol",,,,,
2,22pF,C-USC0805,490-1411-1-ND,C0805,"C39, C40","CAPACITOR, American symbol",,,,,
1,240kR,R-US_R0805,P240KDACT-ND,R0805,R30,"RESISTOR, American symbol",,,,,
1,255kR,R-US_R0805,P255KDACT-ND,R0805,R32,"RESISTOR, American symbol",,,,,
1,274kR,R-US_R0805,P274KDACT-ND,R0805,R34,"RESISTOR, American symbol",,,,,
1,294kR,R-US_R0805,P294KDACT-ND,R0805,R36,"RESISTOR, American symbol",,,,,
1,316kR,R-US_R0805,P316KDACT-ND,R0805,R38,"RESISTOR, American symbol",,,,,
1,340kR,R-US_R0805,P340KDACT-ND,R0805,R10,"RESISTOR, American symbol",,,,,
1,374kR,R-US_R0805,P374KDACT-ND,R0805,R12,"RESISTOR, American symbol",,,,,
2,4.7kR,R-US_R0805,P4.7KDACT-ND,R0805,"R85, R86","RESISTOR, American symbol",,,,,
1,412kR,R-US_R0805,P412KDACT-ND,R0805,R14,"RESISTOR, American symbol",,,,,
1,453kR,R-US_R0805,P453KDACT-ND,R0805,R16,"RESISTOR, American symbol",,,,,
1,470kR,R-US_R0805,P470KDACT-ND,R0805,R4,"RESISTOR, American symbol",,,,,
1,511kR,R-US_R0805,P511KDACT-ND,R0805,R18,"RESISTOR, American symbol",,,,,
1,590kR,R-US_R0805,P590KDACT-ND,R0805,R20,"RESISTOR, American symbol",,,,,
1,6-RJ45,6-RJ45-5557572-3,A31456-ND,48-PIN-THROUGHHOLE,U$3,,,,,,
1,681kR,R-US_R0805,P681KDACT-ND,R0805,R22,"RESISTOR, American symbol",,,,,
1,715kR,R-US_R0805,P715KDACT-ND,R0805,R6,"RESISTOR, American symbol",,,,,
1,825kR,R-US_R0805,P825KDACT-ND,R0805,R24,"RESISTOR, American symbol",,,,,
1,95.3kR,R-US_R0805,P95.3KDACT-ND,R0805,R74,"RESISTOR, American symbol",,,,,
1,ATMEGA328P,ATMEGA328P,ATMEGA328P-PU-ND,DIL28-3,U$1,,,,,,
