Qty,Value,Device,Package,Parts,Description,PROD_ID,VALUE
1,,LEDCHIPLED_0805,CHIPLED_0805,LED2,LED,,
2,,PINHD-1X8BIG,1X08-BIG,"JP1, JP2",PIN HEADER,,
1,,POLYFUSE,1206,F1,Resistor,,
1,0.1uF,C-USC0805,C0805,C4,"CAPACITOR, American symbol",,
1,10k,RESISTOR0603-RES,0603-RES,R6,Resistor,,
1,1k,RESISTOR0603-RES,0603-RES,R5,Resistor,,
1,1uF,C-USC0805,C0805,C3,"CAPACITOR, American symbol",,
1,7-SEGMENT-4DIGIT-YOUNGSUN,7-SEGMENT-4DIGIT-YOUNGSUN,7-SEGMENT-4DIGIT-YOUNGSUN,LED1,"This is a part for the 4-Digit 7-segment LEDs from Young Sun.  Different from the Digikey LEDs, all 16 pins are used.",,
8,80 Ohm,RESISTOR0603-RES,0603-RES,"R7, R8, R9, R10, R11, R12, R13, R14",Resistor,,
1,ATMEGA328P_TQFP,ATMEGA328P_TQFP,TQFP32-08,U1,,IC-09069,ATMEGA328P_TQFP
1,AVRISP-BOX,AVRISP-BOX,AVRISP-BOX,ISP1,AVR ISP HEADER,,
1,EG4621CT-ND,EG4621CT-ND,EG4621CT-ND,U$10,surface mount push putton digikey number EG4621CT-ND,,
1,USBLC6-2SC6,USBLC6-2SC6,USBLC6-2SC6,D1,5V TSV diode for protecting circuit board inputs. Also has Vcc Protection. Digikey 497-5235-6-ND,,
